BEGIN_DATE_TIME,EVENT_TYPE,CZ_NAME,STATE,CFSDate,IncidentType,ZIP Code
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33137
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33136
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33150
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33136
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33129
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33134
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33150
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33126
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33128
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33137
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33136
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33150
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,22 - STOLEN VEHICLE,33150
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33132
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33142
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33136
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33135
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33130
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33142
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33130
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33132
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33136
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33130
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33147
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33132
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33133
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33126
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33132
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33125
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33125
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33137
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33142
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33137
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33138
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33135
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33132
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,22 - STOLEN VEHICLE,33138
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33128
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33125
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33131
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,22 - STOLEN VEHICLE,33130
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33128
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,28 - VANDALISM,33131
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,26 - BURGLARY,33131
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27 - LARCENY THEFT,33136
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33127
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,22 - STOLEN VEHICLE,33125
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33136
5/29/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/29/2024,27R - LARCENY THEFT â€“ RETAIL,33133
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33150
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33136
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33132
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33129
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33134
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33150
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33126
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33128
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33131
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33125
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33125
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33137
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33136
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33131
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33131
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33150
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33136
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33129
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33134
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33150
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33126
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33128
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33125
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33137
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33136
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33135
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33131
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33142
5/21/2024,Thunderstorm Wind,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33150
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33126
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33136
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33132
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33129
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33134
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33125
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33150
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33126
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33128
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27R - LARCENY THEFT â€“ RETAIL,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33131
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33125
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33130
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33125
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33132
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,26 - BURGLARY,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33137
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,28 - VANDALISM,33142
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33136
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27V - LARCENY THEFT - MOTOR VEHICLE,33127
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,22 - STOLEN VEHICLE,33135
5/21/2024,Hail,MIAMI-DADE,FLORIDA,5/21/2024,27 - LARCENY THEFT,33131
